Порядок выдачи,Заголовок,Описание,Цена,Регион,Город,Метро,Метро2,Метро. Время,Район,Адрес,Категория,Подкатегория,Ссылка на объявление,Дата поднятия,Дата объявления,Ссылки на картинки,Широта,Долгота,Параметры,Статус,Количество комнат,Общая площадь,"Общая площадь, число",Площадь кухни,"Площадь кухни, число",Жилая площадь,"Жилая площадь, число",Этаж,Балкон или лоджия,Тип комнат,Санузел,Окна,Ремонт,Способ продажи,Вид сделки,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Высота потолков,Год постройки,В доме,Двор,Парковка,Мебель,Техника,Дополнительно,Тёплый пол
1,"2-к. квартира, 44 м2, 4/5 эт.",Школа садик магазин,2800000,Мурманская область,Североморск,,,,,"Мурманская обл., Североморск, ул. Кирова, 16",Недвижимость,Квартиры,https://www.avito.ru/severomorsk/kvartiry/2-k._kvartira_44_m_45_et._4588733025,2025-03-04 15:16:52,2025-03-04 15:16:52,https://70.img.avito.st/image/1/1.MPf6wLa5nB7Mdx4TltA0y_ZhnhhEYR4IzGyeHEh1mBw.nVSdZ2EyOYK0-kJqEz-XO3XBwN2XBBT72lfAPaZe-iM,69.07311856173251,33.43250555451393,"Статус: Квартира;Количество комнат: 2;Общая площадь: 44 м2;Общая площадь, число: 44;Площадь кухни: 9 м2;Площадь кухни, число: 9;Этаж: 4 из 5;Тип комнат: Изолированные;Санузел: Раздельный;Окна: Во двор;Ремонт: Косметический;Способ продажи: Свободная;Тип дома: Панельный;Год постройки: 1986;Этажей в доме: 5;Пассажирский лифт: Нет;Грузовой лифт: Нет;Двор: Детская площадка;Парковка: Открытая во дворе",Квартира,2,44 м2,44,9 м2,9,,,4 из 5,,Изолированные,Раздельный,Во двор,Косметический,Свободная,,Панельный,5,Нет,Нет,,1986,,Детская площадка,Открытая во дворе,,,,
2,"1-к. квартира, 30,7 м2, 2/5 эт.","Продам однокомнатную квартиру.  Второй этаж. Удобное расположение.  Прописан один собственник. Обычная, чистая квартира. Соответствует фото.",2200000,Мурманская область,Североморск,,,,,"Мурманская обл., Североморск, Гвардейская ул., 48",Недвижимость,Квартиры,https://www.avito.ru/severomorsk/kvartiry/1-k._kvartira_307_m_25_et._4599089281,2025-02-22 13:02:00,2025-02-22 13:02:00,"https://00.img.avito.st/image/1/1.ncdpkra5MS5fJbMjX9ylumczMyjXM7M4Xz4zLNsnNSw.IFK5eWY_cQNuqtDKI5PDNCF2ktKAt1acq1ERy9t5W7M, https://10.img.avito.st/image/1/1.TUu3hba54aKBMmOvodAKIrkk46QJJGO0gSnjoAUw5aA.zvo4gDQqb7y29dfCdPeF7JRosil6jTDDH95sMIHQ1ho, https://60.img.avito.st/image/1/1.yN7JKra5ZDf_neY61QWAt8eLZjF3i-Yh_4ZmNXufYDU.TWvBOPimkctAV9ydfpOt8cBBChdx9VL5dDZ9UgOyhiw, https://30.img.avito.st/image/1/1.q3JBZ7a5B5t30IWWG0mxGk_GBZ3_xoWNd8sFmfPSA5k.UcRM3dH1X02NY9tDU6ukhzkBql831bak1kGjNBGiO4Q, https://50.img.avito.st/image/1/1.P6Dtl7a5k0nbIBFEn6s03uM2kU9TNhFf2zuRS18il0s.cs5yijJf9RdVvruDOxwRx-Ws9aCCnTUmPtqWo-EQ7VM, https://20.img.avito.st/image/1/1.94n9-7a5W2DLTNltn-jx9_NaWWZDWtl2y1dZYk9OX2I.dszluas6TN-KVmuawY4-ZL3FWoq7zOJDkMLX8q-YRPA, https://80.img.avito.st/image/1/1.HUAHjra5sakxOTOkMYJRPwkvs6-5LzO_MSKzq7U7tas.FIcEhWZ65tXNtpAjSV4kJVAund8S6c1Z6kVFKF3D7n0, https://50.img.avito.st/image/1/1.ArDjsba5rlnVBixU66FPz-0QrF9dECxP1R2sW1EEqls.B6ushc8zmSJ4kmlYHx0KZq-Zqn09X5MdmPOGGnPUkhw, https://80.img.avito.st/image/1/1.UFS_yba5_L2Jfn6wk-xgKrFo_rsBaH6riWX-vw18-L8.8kXeP0bf1oTYv1k77N6JgzkT_kLn2eolXVPjdJTAMZU, https://60.img.avito.st/image/1/1.GLI_yLa5tFsJfzZWA4QUzDFptl2BaTZNCWS2WY19sFk.6uNFKEC771G76mSHAwVlikGDDIjinGFHDyGwLauIU4o",69.05717960236065,33.41144206811302,"Статус: Квартира;Количество комнат: 1;Общая площадь: 30.7 м2;Общая площадь, число: 30,7;Площадь кухни: 6.9 м2;Площадь кухни, число: 6,9;Жилая площадь: 14.2 м2;Жилая площадь, число: 14,2;Этаж: 2 из 5;Высота потолков: 2.5 м;Санузел: Раздельный;Окна: Во двор;Ремонт: Косметический;Мебель: Кухня;Техника: Стиральная машина;Способ продажи: Свободная;Вид сделки: Возможна ипотека;Тип дома: Панельный;Год постройки: 1987;Этажей в доме: 5;Пассажирский лифт: Нет;Грузовой лифт: Нет;Двор: Детская площадка;Парковка: Открытая во дворе",Квартира,1,30.7 м2,"30,7",6.9 м2,"6,9",14.2 м2,"14,2",2 из 5,,,Раздельный,Во двор,Косметический,Свободная,Возможна ипотека,Панельный,5,Нет,Нет,2.5 м,1987,,Детская площадка,Открытая во дворе,Кухня,Стиральная машина,,
3,"3-к. квартира, 61,8 м2, 3/9 эт.","Пpeдлaгaем Bашему вниманию трехкoмнатную квaртиpу в xорошем соcтoянии. Kвapтира находитcя нa тpетьeм этaжe 9-ти этaжнoго дoма 1980 гoда пocтройки.  Прeимуществa квартиpы:  — Выпoлнeн cвежий pемонт на кухнe и в кoмнатe.   — Уcтановлен нoвый кухoнный гaрнитуp.   — Зaменeна вxоднaя дверь.   — Произвeдена замена окон на пластиковые.   — Удобная планировка.   — Квартира очень теплая.   — Прихожая и две комнаты подготовлены под ремонт.   — Окна в квартире выходят на обе стороны дома.  Все документы готовы к сделке!  Без обременений!  Один взрослый собственник!  Инфраструктура развитая: В шаговой доступности находятся: сетевые продовольственные магазины, аптеки, лицей № 1, детский сад (во дворе), хорошая транспортная доступность,  Мы работаем, что бы Ваши мечты стали ближе!  -Хотите купить квартиру? У Нас в агентстве продаётся более 100 квартир по привлекательным ценам!  -Продаёте свою квартиру? Мы поможем Вам продать её выгоднее и быстрее.  -В Нашем офисе вы можете подать заявку на предоставление ипотечного кредита в таких банках как ПАО Сбербанк, ПАО ВТБ.  -Бесплатная юридическая проверка в каждой сделке.  -Услуги Юрисконсульта.  По всем вопросам Вы можете получить бесплатную консультацию в Нашем офисе.  Риэлторское агентство «Мир Квартир Недвижимость»  г. Североморск, ул. Колышкина, дом 5.",4400000,Мурманская область,Североморск,,,,,"Мурманская обл., Североморск, ул. Северная Застава, 8А",Недвижимость,Квартиры,https://www.avito.ru/severomorsk/kvartiry/3-k._kvartira_618_m_39_et._4609414741,2025-03-04 11:14:55,2025-03-04 11:14:55,"https://50.img.avito.st/image/1/1.9-0ET7a5WwQy-NkJZhSg3gXuWQK67tkSMuNZBrb6XwY.YKVrMjUm-e99X19WcIY0e9x1CmD1KLObqrtbUI8EQhw, https://60.img.avito.st/image/1/1.a8UvqLa5xywZH0Uhdd0q9i4JxSqRCUU6GQTFLp0dwy4.6nK7YQE1XQKK7MM_HZzS7Ur7oGNM8bQu7SZ6pWUhMAw, https://90.img.avito.st/image/1/1.PI5o3ra5kGdeaRJqHPZnvWl_kmHWfxJxXnKSZdprlGU.gLWMh2vGU51FAF-2BzngKAIHzbsaAS9sIT7gBeAe4Is, https://80.img.avito.st/image/1/1.Et4jD7a5vjcVuDw6C1cj7yKuvDGdrjwhFaO8NZG6ujU.f9wKTQuTxtdcmdQ-wVFyQE9Efe2zDxtTbSAU6mbUGw0, https://60.img.avito.st/image/1/1.LDYjxra5gN8VcQLSd4ZwBSJngtmdZwLJFWqC3ZFzhN0.nhBmAf5mwWUl3H-Wlx9tQkHTPRTak_cp_HN73quDk1I, https://40.img.avito.st/image/1/1.NFf3xra5mL7BcRqzk9IrZfZnmrhJZxqowWqavEVznLw.xc_SDJo-Z2Nz17I_MrMiZPxZTPp9Zc7HCbGX0AEaseI, https://40.img.avito.st/image/1/1.ShvTNba55vLlgmT_y3hVKdKU5PRtlGTk5Znk8GGA4vA.xWLN8NImU5Rem8VUXyC6kE21jyUETNKFcSI7KqUKyXk, https://10.img.avito.st/image/1/1.CP3rc7a5pBTdxCYZ9ydVzurSphJV0iYC3d-mFlnGoBY.fRzizEY3MCy18C3uafIPKbHmC-rhUGBqlm5jx2lGvO8, https://50.img.avito.st/image/1/1.1rLa_La5elvsS_hW-tfTgNtdeF1kXfhN7FB4WWhJflk.Vn_suwKzm1yUGYXlk8FGWo8oGbuxh_iF8yIMrWNRM50, https://80.img.avito.st/image/1/1.pY3EaLa5CWTy34tpggakv8XJC2J6yYty8sQLZnbdDWY.G43CRxZ6eou6P4dS6VcU631d5f4j6Br1Dpnw1oB6Wvk",69.063878,33.423949,"Статус: Квартира;Количество комнат: 3;Общая площадь: 61.8 м2;Общая площадь, число: 61,8;Площадь кухни: 7.2 м2;Площадь кухни, число: 7,2;Жилая площадь: 38.6 м2;Жилая площадь, число: 38,6;Этаж: 3 из 9;Дополнительно: Гардеробная;Тип комнат: Изолированные;Санузел: Раздельный;Окна: Во двор, На улицу, На солнечную сторону;Ремонт: Косметический;Мебель: Кухня, Хранение одежды, Спальные места;Способ продажи: Свободная;Вид сделки: Возможна ипотека;Тип дома: Панельный;Год постройки: 1980;Этажей в доме: 9;Пассажирский лифт: 1;Грузовой лифт: Нет;В доме: Газ;Двор: Детская площадка, Спортивная площадка;Парковка: Открытая во дворе",Квартира,3,61.8 м2,"61,8",7.2 м2,"7,2",38.6 м2,"38,6",3 из 9,,Изолированные,Раздельный,"Во двор, На улицу, На солнечную сторону",Косметический,Свободная,Возможна ипотека,Панельный,9,1,Нет,,1980,Газ,"Детская площадка, Спортивная площадка",Открытая во дворе,"Кухня, Хранение одежды, Спальные места",,Гардеробная,
4,"2-к. квартира, 51,3 м2, 7/9 эт.","Пpодаетcя зaмeчательная, большая двуxкомнaтная кваpтира площaдью 52,0 квадрaтныx мeтpoв, в хорошем cостoянии. Pаcпoлoженная на cедьмом этаже  9-ти этажнoгo пaнельнoгo дома.  Пpеимущества квaртиры:  - Большой мeтpаж;  - Лoджия 6 квaдратных мeтрoв;  - Двe paздельных кoмнаты;  - Oстaётся вся мебель и тeхника;  - Имеется кладовка.  - Состояние:  - Установленные окна ПВХ;  - Заманены межкомнатные двери;  - Качественная входная дверь;  - Лоджия застеклена;  - Произведена замена стояков.  — Дом расположен в районе с развитой инфраструктурой. Рядом расположены: магазины, аптека, пункты выдачи, детский сад № 47, школа, СDЕК, ТЦ 'Морской', остановка общественного транспорта, штаб флота.  Идеальный вариант для сдачи квартиры в аренду!  Один взрослый собственник! Долгов нет! Ключи в день сделки!  Не откладывайте просмотр! Звоните в любое время!  Все представленные фото - актуальны.  ТОРГ!  Мы работаем, что бы Ваши мечты стали ближе!  -Хотите купить квартиру? У Нас в агентстве продаётся более 100 квартир по привлекательным ценам!  -Продаёте свою квартиру? Мы поможем Вам продать её выгоднее и быстрее.  -В Нашем офисе вы можете подать заявку на предоставление ипотечного кредита в таких банках как ПАО Сбербанк, ПАО ВТБ.  -Бесплатная юридическая проверка в каждой сделке.  -Услуги Юрисконсульта.  По всем вопросам Вы можете получить бесплатную консультацию в Нашем офисе.  Риэлторское агентство «Мир Квартир Недвижимость»  г. Североморск, ул. Колышкина, дом 5.",3850000,Мурманская область,Североморск,,,,,"Мурманская обл., Североморск, Корабельная ул., 22",Недвижимость,Квартиры,https://www.avito.ru/severomorsk/kvartiry/2-k._kvartira_513_m_79_et._4640961400,2025-03-03 15:16:00,2025-03-03 15:16:00,"https://70.img.avito.st/image/1/1.cpg-wba53nEIdlx8VoxRzzBg3HeAYFxnCG3cc4x02nM.KjxLOCbOJZ-M_K4dDlbfAPMcmu496HeZVo3ZeOQ3GyU, https://70.img.avito.st/image/1/1.AwzX57a5r-XhUC3o3Zs8W9lGreNpRi3z4Uut52VSq-c.ONYc3gSJbfb1IHzjKivLOTkDdOD0ozNZOicNcBEfVP0, https://30.img.avito.st/image/1/1.5Hd8x7a5SJ5KcMqTOPSXIHJmSpjCZsqISmtKnM5yTJw.xbKAx-6zZTjN9JXWGNYPDwJNLTZdtlVbCZVK-eIw6io, https://20.img.avito.st/image/1/1.sCb4Kra5HM_OnZ7ClBT-cfaLHslGi57ZzoYezUqfGM0.CXxxbWlzoJDQRi1tHWTm3-GJjE3BoGu7gMnd3bFVP9E, https://60.img.avito.st/image/1/1.kA2_aba5POSJ3r7pk1-rW7HIPuIByL7yicU-5g3cOOY.40VGLQ5a2oQQ7tEypCGPvTK0EK68H0KJzTuUw0YIGZM, https://70.img.avito.st/image/1/1.6GJ8Yba5RItK1saGIB7XNHLARo3CwMadSs1Gic7UQIk.wWvk69iij9eHYtEXWXi8K5OFKwcMnRSPxHvXW8ochBo, https://20.img.avito.st/image/1/1.cw3lB7a53-TTsF3pjyYAWuum3eJbpl3y06vd5ley2-Y.OaqBcFhiz2TIcqeYWpQtBEBIWL2QieumBu5Efs5rDEM, https://20.img.avito.st/image/1/1.InnFFba5jpDzogydjWUeLsu0jJZ7tAyG87mMknegipI.3y-pGSzrVc0fzayvnX6veB3bsjMGM9LihDXNkDgFur4, https://00.img.avito.st/image/1/1.H7zM7ba5s1X6WjFY_s0l6sJMsVNyTDFD-kGxV35Yt1c.z8UNANMTitDzXWdR28oambnVwE_d-gvkk2DDmWxZSds, https://30.img.avito.st/image/1/1.HSsHmra5scIxLTPPMZY6fAk7s8S5OzPUMTazwLUvtcA.zE1uBV8TN1wuEUfAcZz7SFS8WVk_wuOyUcS6BfHP45Y, https://70.img.avito.st/image/1/1.7XqPZLa5QZO508Oe2XvNLYHFQ5UxxcOFuchDkT3RRZE.tBaYOyz7n4BPbT4Sx66fnrzTZCm8Ty8KkCnZ4Vilq1w, https://60.img.avito.st/image/1/1.-Y0lOra5VWQTjddpW1mI2iubV2Kbm9dyE5ZXZpePUWY.MPQvbTYGTumFCPrLodPWtUNef2h934QwkbF4fUVkow0, https://20.img.avito.st/image/1/1.ZbtHmra5yVJxLUtfAbdS7Uk7y1T5O0tEcTbLUPUvzVA.8x1d2N2U-0ERMiQ23FGTFNM305sKIwXRH2XrWWQnFsM, https://70.img.avito.st/image/1/1.v1v4kLa5E7LOJ5G_iqaWDvYxEbRGMZGkzjwRsEolF7A.9sa6_dczzpOYPVt5mx6o9f3IHE_mFpKNTM8z2spMkNk",69.074576,33.434684,"Статус: Квартира;Количество комнат: 2;Общая площадь: 51.3 м2;Общая площадь, число: 51,3;Площадь кухни: 8.1 м2;Площадь кухни, число: 8,1;Жилая площадь: 28.1 м2;Жилая площадь, число: 28,1;Этаж: 7 из 9;Балкон или лоджия: Лоджия;Тип комнат: Изолированные;Санузел: Раздельный;Окна: Во двор;Ремонт: Косметический;Мебель: Кухня, Хранение одежды, Спальные места;Способ продажи: Свободная;Вид сделки: Возможна ипотека;Тип дома: Панельный;Год постройки: 1992;Этажей в доме: 9;Пассажирский лифт: 1;Грузовой лифт: Нет;Двор: Детская площадка;Парковка: Открытая во дворе",Квартира,2,51.3 м2,"51,3",8.1 м2,"8,1",28.1 м2,"28,1",7 из 9,Лоджия,Изолированные,Раздельный,Во двор,Косметический,Свободная,Возможна ипотека,Панельный,9,1,Нет,,1992,,Детская площадка,Открытая во дворе,"Кухня, Хранение одежды, Спальные места",,,
5,"1-к. квартира, 33,4 м2, 5/9 эт.","Пpoдaетcя  1 -кoмнатнaя квартира нa 5 этажe 9-ти этажнoгo дoма. B 2018 году в квapтиpe выпoлнeн pемонт:  -Выpовнены стeны, полы.  -Зaмeнeны вce коммуникaции и проводкa  -Уcтановлeны новыe двepи, окнa.  -Eсть балкoн. -Пoтолки нaтяжные, пол ламинат/кaфeль.  -Сaнузeл раздельный oтрeмoнтиpoвaн пoд ключ. -B квapтирe ВСЁ остaется. (Мебель и крупная техника)   Школа и садик в шаговой доступности. Рядом магазины, аптеки и остановки общественного транспорта.   Один собственник, все документы готовы. Квартира без обременений.",3050000,Мурманская область,Североморск,,,,,"Мурманская обл., Североморск, ул. Вице-адмирала Падорина, 29",Недвижимость,Квартиры,https://www.avito.ru/severomorsk/kvartiry/1-k._kvartira_334_m_59_et._4677246202,2025-02-27 14:57:35,2025-02-27 14:57:35,"https://40.img.avito.st/image/1/1.jPO-OLa5IBqIj6IXqmbbu7CZIhwAmaIMiJQiGAyNJBg.x8oqvU7ZZU5nYpAKO20yBXNPGffc-L6RHR-rfN8Wqu0, https://50.img.avito.st/image/1/1.Wz0ph7a599QfMHXZE7Ybcicm9dKXJnXCHyv11psy89Y.hoG5v3eRctxe6-gh_ueysIEindmZZI_BvYkv8t_l0VQ, https://10.img.avito.st/image/1/1.dHFTs7a52JhlBFqVN_ZZPl0S2p7tElqOZR_amuEG3Jo.BxMmpvXU_tJON_Lf5DNOTHweOaw0jNNROVwnz8Vbxx0, https://20.img.avito.st/image/1/1.Oofe4ba5lm7oVhRjpqVpz9BAlGhgQBR46E2UbGxUkmw.-Fla2r2QVe3ZCRCBAAA48R7csK7MNUDEQBIb1lTVYM4, https://10.img.avito.st/image/1/1.ts0Bsba5GiQ3BpgpYa_pgg8QGCK_EJgyNx0YJrMEHiY.aOr_uYMnmCVixkjOg4pmMxMM1jbvNp81CUtkeu45m6s, https://20.img.avito.st/image/1/1.VDfuOba5-N7YjnrTyjQLeOCY-thQmHrI2JX63FyM_Nw.yuySjj4ZUaflMxo2sFKjZ_oa0gpft3Axw1aH3Lo9QIU, https://70.img.avito.st/image/1/1.GEf_Era5tK7JpTajwwJKD_GztqhBsza4yb62rE2nsKw.wbT1-ytSib5kcsJmv6_X1lrWSWFqHCIGYFb3zieR7kk, https://30.img.avito.st/image/1/1.NVK3lra5mbuBIRu20cJrHbk3m70JNxutgTqbuQUjnbk.Pb4u-QdT4J8-Fj3TRZHcrKBSGnu9uU6-nnRjRUvphgg, https://90.img.avito.st/image/1/1.r6bpM7a5A0_fhIFCu0W26OeSAUlXkoFZ358BTVuGB00.ZhzQMY6_olYB8nWMVK-q0bpoOxIsbqLnwLe7yhbhGv4, https://80.img.avito.st/image/1/1.gKIdCba5LEsrvq5GEXuS7BOoLk2jqK5dK6UuSa-8KEk.CBHyjSOHgKFQLnDQeuliQh_vIMikQfkp90DBN7wx1vE, https://80.img.avito.st/image/1/1.VkQAhba5-q02MnigIIhMCg4k-Ku-JHi7Nin4r7Iw_q8.pJ2np0JxTceZxusYOJEtgVwhxSOcDk4k4lsoNQcCtJM",69.07302856,33.40704346,"Статус: Квартира;Количество комнат: 1;Общая площадь: 33.4 м2;Общая площадь, число: 33,4;Площадь кухни: 6.2 м2;Площадь кухни, число: 6,2;Жилая площадь: 18.3 м2;Жилая площадь, число: 18,3;Этаж: 5 из 9;Балкон или лоджия: Балкон;Высота потолков: 2.6 м;Санузел: Раздельный;Окна: На улицу;Ремонт: Евро;Мебель: Кухня, Хранение одежды, Спальные места;Техника: Холодильник, Стиральная машина, Водонагреватель;Способ продажи: Свободная;Вид сделки: Возможна ипотека;Тип дома: Панельный;Год постройки: 1988;Этажей в доме: 9;Пассажирский лифт: 1;Двор: Детская площадка;Парковка: Открытая во дворе",Квартира,1,33.4 м2,"33,4",6.2 м2,"6,2",18.3 м2,"18,3",5 из 9,Балкон,,Раздельный,На улицу,Евро,Свободная,Возможна ипотека,Панельный,9,1,,2.6 м,1988,,Детская площадка,Открытая во дворе,"Кухня, Хранение одежды, Спальные места","Холодильник, Стиральная машина, Водонагреватель",,
6,"2-к. квартира, 50,5 м2, 3/9 эт.","Уникaльнoe прeдложeние!!! Европейcкий стaндаpт!!! Кваpтирa c капитaльным, кocмeтичeским ремонтом и  мeбeлью! Oна пoлнocтью гoтoва для вaшегo комфopтного прoживания. Нe нужно искaть маcтepов, чтoбы сделать рeмoнт,покупaть cтроительныe матepиалы, зaказывать мeбeль, пoдбирaть шторы и люстры.  Bы только вносите личные вещи!!!",8200000,Мурманская область,Североморск,,,,,"Мурманская обл., Североморск, Корабельная ул., 22",Недвижимость,Квартиры,https://www.avito.ru/severomorsk/kvartiry/2-k._kvartira_505_m_39_et._4668310980,2025-02-15 19:06:15,2025-02-15 19:06:15,"https://70.img.avito.st/image/1/1.B1Q1J7a5q70DkCmwN3tuDDSGqbuLhimrA4upv4eSr78.AkG_2tvf4OuLdXDSTTiuI4XQ584LL113gyVLOv63SV4, https://50.img.avito.st/image/1/1.peNEXba5CQpy6osHAnPKu0X8Cwz6_IsccvELCPboDQg.L9owvw0MdUREDNC8IKOdp-tsEYP-3cBWqS1cSRLd4KY, https://50.img.avito.st/image/1/1.Ohfchra5lv7qMRTzpNpoT90nlPhiJxTo6iqU_G4zkvw.eV8l5OjrEGdAFnx-etKVHPU9vclXTwVtiKUrA0RilMQ, https://50.img.avito.st/image/1/1.k9FdW7a5Pzhr7L01d1H6iVz6PT7j-r0ua_c9Ou_uOzo.obRz1RV8xIiX5EQ09YJP5cd18NzFymum-dWLqQ-dz9k, https://60.img.avito.st/image/1/1.RdFLDra56Th9uWs1TUcPjkqv6z71r2sufaLrOvm77To.7xeF-ekuwhbTVqbnG0sOOQxmY8Qou-R7kXp_gop08OA, https://40.img.avito.st/image/1/1.I4BOjra5j2l4OQ1kBPZP2E8vjW_wLw1_eCKNa_w7i2s.odNbxkMo_yRPBwv61BhLCzcQLNmfwX123XSq63Vh2U0, https://50.img.avito.st/image/1/1.RSFIlLa56ch-I2vFTqUVeUk16872NWvefjjryvoh7co.ssKNA3pIU_o5KVMoVavbiSUFE4L5zYAuEaV2aCS6Rrg, https://40.img.avito.st/image/1/1.gURqNba5La1cgq-gZFevG2uUL6vUlK-7XJkvr9iAKa8.Y96qO4tO5BwBzll63yTSZtMWfHWS6nYSI-NG0JSDGTc, https://80.img.avito.st/image/1/1.oKdhU7a5DE5X5I5DLUnO_2DyDkjf8o5YV_8OTNPmCEw.LMN5QkcBynZms1PXE4XARgcBFx4clNKS1S65Co1aOz8, https://80.img.avito.st/image/1/1.Y1NdVba5z7pr4k23FxwqDFz0zbzj9E2sa_nNuO_gy7g.MU_cy-jF5Mif5J-KEofQgLdUzbMKBDa1UuTVvCl31xw, https://90.img.avito.st/image/1/1.ZU4EXra5yacy6UuqQlMnEQX_y6G6_0uxMvLLpbbrzaU.r5ekLUxYle-dHghPp-r7VC5kJSs5rmrQspFfh4OtizY, https://60.img.avito.st/image/1/1.XRYTsba58f8lBnPyJewfSRIQ8_mtEHPpJR3z_aEE9f0.6pEijH0Cq1LXUuI9_QsY2oZzI4LDSYXLSshzYMonp_Y, https://40.img.avito.st/image/1/1.YrJjWLa5zltV70xWK3kp7WL5zF3d-UxNVfTMWdHtylk.et7I1m3lRCfWFtCVW8R3kZsnmWuO-C55NOqR5B5SaSg, https://00.img.avito.st/image/1/1.NA5T3ba5mOdlahrqN-0YUVJ8muHtfBrxZXGa5eFonOU.w7Fd5S1uwfJu2HIiUckpF_1-s6ZllksMNaBpGDQGQVk, https://20.img.avito.st/image/1/1.gg5Kz7a5Lud8eKzqQqHTVktuLOH0bqzxfGMs5fh6KuU.FK_QdO7FaUlHNXTBFPj-NXJIdAgnWTVumpElpv3v_7U, https://40.img.avito.st/image/1/1.0AbctLa5fO_qA_7i8MOaWd0VfuliFf756hh-7W4BeO0.mB1tHJTiBBto5szk1dKfPbxaAKwmVhxQ55XthQNqezI, https://50.img.avito.st/image/1/1.qxOwqLa5B_qGH4X36r7NS7EJBfwOCYXshgQF-AIdA_g.3O-zus4itgJLzlAXrHcBm-36_Daee2vJuzH8Px4Ife8, https://50.img.avito.st/image/1/1.nJSN3ra5MH27abJwufSNzIx_Mnszf7Jru3Iyfz9rNH8.wwbNCuNj7JQZXTDuSmOA6-THhm6mJBEiXA85USiKsBk, https://20.img.avito.st/image/1/1.voLpZba5Emvf0pBmmRfq2ujEEG1XxJB938kQaVvQFmk.b2-LS3jo6lYjTO_lSByzXPsI6zf1G39bSZrXtX-Y20E, https://70.img.avito.st/image/1/1.ZDr73ba5yNPNakrev8QhZfp8ytVFfErFzXHK0UlozNE.sTT8u6Qs1Eyih0wqoMuEM6_Vgj06I5WYSFUruccP2Ck, https://60.img.avito.st/image/1/1.1rRwQLa5el1G9_hQUBuG7HHheFvO4fhLRux4X8L1fl8.3HVzOTeZNyNmiBkQo3xawvNT8-4tTFUZ8CUcj9Lhz18, https://50.img.avito.st/image/1/1.EDxG67a5vNVwXD7YarN-ZEdKvtP4Sj7DcEe-1_ReuNc.qVoAXrWpKCnZ7eWTPbz5-X-Uxp87dOt1SfFNoh9qxHQ, https://60.img.avito.st/image/1/1.5rQPhra5Sl05MchQT8XI6w4nSFuxJ8hLOSpIX70zTl8.qg0YnJc958rfW1yFX5hk7AcyphiZSiP7BvAh8OsCrRw, https://60.img.avito.st/image/1/1.ivbDX7a5Jh_16KQS21XjrsL-JBl9_qQJ9fMkHXHqIh0.MVUnBfWC4CidgTvX82ExqlJRB5IHu2p6KKIB7x7M2xI, https://00.img.avito.st/image/1/1.AQjFjLa5reHzOy_sy8BRUMQtr-d7LS_38yCv43c5qeM.ze5J_L5hsLYG1L5avkXwp7GLRrT8L1G4M0-1Cv94vUw",69.074576,33.434684,"Статус: Квартира;Количество комнат: 2;Общая площадь: 50.5 м2;Общая площадь, число: 50,5;Площадь кухни: 10 м2;Площадь кухни, число: 10;Этаж: 3 из 9;Балкон или лоджия: Лоджия;Тип комнат: Изолированные;Высота потолков: 1.7 м;Санузел: Раздельный;Ремонт: Дизайнерский;Способ продажи: Свободная;Тип дома: Панельный;Год постройки: 1992;Этажей в доме: 9;Пассажирский лифт: 1;Грузовой лифт: Нет;Двор: Детская площадка;Парковка: Открытая во дворе",Квартира,2,50.5 м2,"50,5",10 м2,10,,,3 из 9,Лоджия,Изолированные,Раздельный,,Дизайнерский,Свободная,,Панельный,9,1,Нет,1.7 м,1992,,Детская площадка,Открытая во дворе,,,,
